id,report_date,campaign_id,campaign_name,campaign_status,start_date,end_date,country,primary_region,secondary_region,dma_code,dma_name,imps_won,clicks,ctr,total_ecpm,total_ecpc,total_ecpa,ctc,vtc,total_conversions,click_cvr,view_cvr,total_cvrm,ctc_revenue,vtc_revenue,total_revenue,media_spend,data_spend,total_spend,audio_video_starts,complete_25,complete_50,complete_75,complete_100,completion_rate,ecpcv,companion_imps_won,companion_clicks,companion_ctc,companion_ctc_revenue,brand_id,brand_name,owner_key,updated_at
108,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",California,Unknown,0,"Unknown DMA",22,0,0.0000,7.952599,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.165204,0.009752,0.174957,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
118,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",California,Unknown,803,"Los Angeles, CA",48,0,0.0000,9.397968,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.424684,0.026418,0.451102,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
128,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",California,Unknown,807,"San Francisco/Oakland/San Jose, CA",29,0,0.0000,7.230167,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.197516,0.012158,0.209675,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
138,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",California,Unknown,825,"San Diego, CA",2,0,0.0000,10.778222,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.020488,0.001068,0.021556,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
148,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",California,Unknown,855,"Santa Barbara/San Luis Obispo, CA",2,0,0.0000,8.337700,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.015590,0.001085,0.016675,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
158,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",California,Unknown,862,"Sacramento/Stockton/Modesto, CA",16,0,0.0000,7.085644,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.106508,0.006863,0.113371,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
168,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",California,Unknown,868,"Chico/Redding, CA",4,0,0.0000,7.545388,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.028301,0.001880,0.030181,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
178,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Colorado,Unknown,751,"Denver, CO",22,0,0.0000,11.189046,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.232729,0.013430,0.246159,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
188,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Colorado,Unknown,773,"Grand Junction/Montrose, CO",1,0,0.0000,8.190882,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.007913,0.000279,0.008191,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
198,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Delaware,Unknown,504,"Philadelphia, PA",7,0,0.0000,9.107342,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.060381,0.003371,0.063752,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
208,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Delaware,Unknown,576,"Salisbury, MD",3,0,0.0000,10.298568,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.029435,0.001460,0.030895,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
218,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States","District of Columbia",Unknown,0,"Unknown DMA",26,0,0.0000,11.136206,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.274728,0.014813,0.289541,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
